model,term,estimate,std_err,t_stat,p_value,conf_lo,conf_hi,significant
Tomatoes (Round) — Full xreg,post_shock,-0.874488,0.298379,-2.9308,0.0034,-1.459311,-0.289666,TRUE
Tomatoes (Round) — Dummies only,ar1,1.609381,0.042999,37.4282,0,1.525102,1.693659,TRUE
Tomatoes (Round) — Dummies only,ar2,-0.67397,0.042209000000000003,-15.9674,0,-0.7567,-0.59124,TRUE
Tomatoes (Round) — Dummies only,ma1,-1.998061,NA,NA,NA,NA,NA,NA
Tomatoes (Round) — Dummies only,ma2,0.998277,NA,NA,NA,NA,NA,NA
Tomatoes (Round) — Dummies only,shock_2021q4_2023q1,0.262983,0.021526,12.2168,0,0.220792,0.305175,TRUE
Tomatoes (Round) — Dummies only,post_shock,0.200069,0.016419,12.1853,0,0.167888,0.23225,TRUE
Tomatoes (Vine) — Full xreg,ar1,0.58806,0.05732,10.2592,0,0.475712,0.700408,TRUE
Tomatoes (Vine) — Full xreg,ma1,-1,0.014386,-69.5129,0,-1.028196,-0.971803,TRUE
Tomatoes (Vine) — Full xreg,api_energy_and_lubricants,-0.003505,0.01152,-0.3042,0.761,-0.026085,0.019075,FALSE
Tomatoes (Vine) — Full xreg,api_fertilisers_and_soil_improvers,0.003285,0.003271,1.0044,0.3152,-0.003126,0.009696,FALSE
Tomatoes (Vine) — Full xreg,api_plant_protection_products,0.031683,0.012375,2.5603,0.0105,0.007428,0.055938,TRUE
Tomatoes (Vine) — Full xreg,api_fresh_fruit,-0.005116,0.005456,-0.9378,0.3484,-0.01581,0.005577,FALSE
Tomatoes (Vine) — Full xreg,api_fresh_vegetables,-0.023003,0.010461,-2.1989,0.0279,-0.043507,-0.002499,TRUE
Tomatoes (Vine) — Full xreg,fuel_petrol_price,0.014151,0.016151,0.8762,0.3809,-0.017505,0.045807,FALSE
Tomatoes (Vine) — Full xreg,fuel_diesel_price,-0.022592,0.012643,-1.787,0.0739,-0.047372,0.002187,FALSE
Tomatoes (Vine) — Full xreg,sppi_road_freight,0.010504,0.024521,0.4284,0.6684,-0.037558,0.058566,FALSE
Tomatoes (Vine) — Full xreg,shock_2021q4_2023q1,-0.741948,0.354644,-2.0921,0.0364,-1.437051,-0.046845,TRUE
Tomatoes (Vine) — Full xreg,post_shock,0.31857,0.426182,0.7475,0.4548,-0.516746,1.153886,FALSE
Tomatoes (Vine) — Dummies only,ar1,0.543372,0.056722,9.5796,0,0.432197,0.654548,TRUE
Tomatoes (Vine) — Dummies only,ma1,-0.968732,0.019084,-50.7605,0,-1.006138,-0.931327,TRUE
Tomatoes (Vine) — Dummies only,shock_2021q4_2023q1,-0.431843,0.24229,-1.7823,0.0747,-0.90673,0.043044,FALSE
Tomatoes (Vine) — Dummies only,post_shock,0.272233,0.329416,0.8264,0.4086,-0.373422,0.917888,FALSE
Asparagus — Full xreg,ar1,0.943752,0.09533,9.8999,0,0.756906,1.130598,TRUE
Asparagus — Full xreg,ar2,-0.232329,0.099835,-2.3271,0.02,-0.428006,-0.036653,TRUE
Asparagus — Full xreg,ma1,-1,0.025678,-38.9444,0,-1.050328,-0.949671,TRUE
Asparagus — Full xreg,api_energy_and_lubricants,-0.155522,0.074939,-2.0753,0.038,-0.302403,-0.008641,TRUE
Asparagus — Full xreg,api_fertilisers_and_soil_improvers,0.060952,0.029,2.1018,0.0356,0.004113,0.117792,TRUE
Asparagus — Full xreg,api_plant_protection_products,0.185165,0.094609,1.9572,0.0503,-2.68e-4,0.370599,FALSE
